date,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,total,females,registered,leisure,locals
7/28/2011,0,0,0,23.9,20,40,399,55,201,245,166
7/29/2011,3.6,0,0,26.1,18.9,38,531,43,190,353,164
7/30/2011,0,0,0,31.7,22.8,54,800,40,103,414,99
7/31/2011,0,0,0,32.8,21.1,38,1005,22,102,539,100
8/1/2011,0,0,0,33.9,22.2,36,779,65,240,482,206
8/2/2011,15.2,0,0,33.3,18.9,43,655,69,299,426,218
8/3/2011,0,0,0,23.3,18.3,30,906,76,312,599,259
8/4/2011,0,0,0,24.4,19.4,33,1158,96,401,751,320
8/5/2011,0,0,0,23.9,19.4,40,1599,105,568,1008,484
8/6/2011,0,0,0,31.1,21.1,43,1607,68,279,851,258
8/7/2011,26.9,0,0,25,21.7,41,567,40,123,336,115
8/8/2011,7.4,0,0,26.7,21.1,20,928,88,412,640,329
8/9/2011,30.7,0,0,24.4,19.4,50,962,120,527,683,415
8/10/2011,18.5,0,0,25.6,18.9,39,1048,115,546,739,466
8/11/2011,0,0,0,27.8,17.8,48,1415,148,683,978,554
8/12/2011,0,0,0,28.3,18.3,30,1472,137,620,940,529
8/13/2011,0,0,0,27.8,18.9,29,1727,111,382,888,375
8/14/2011,0.5,0,0,25,20,30,1073,63,251,629,236
8/15/2011,36.3,0,0,20.6,17.2,63,144,22,101,133,91
8/16/2011,0.3,0,0,23.3,16.7,34,1008,112,543,712,445
8/17/2011,0,0,0,28.9,18.3,32,1482,166,729,1002,599
8/18/2011,0,0,0,31.1,20,51,1460,155,721,1003,603
8/19/2011,0.8,0,0,31.1,22.2,39,1105,119,518,744,446
8/20/2011,0,0,0,28.9,22.2,41,1623,90,353,863,348
8/21/2011,0,0,0,30,20.6,52,1438,84,310,789,306
8/22/2011,15,0,0,26.7,20,57,1378,142,707,996,575
8/23/2011,0,0,0,26.1,17.2,40,1555,153,865,1098,717
8/24/2011,0,0,0,27.2,17.8,56,1549,163,848,1100,704
8/25/2011,1.5,0,0,30.6,20,66,1137,125,672,814,534
8/26/2011,0.8,0,0,28.9,21.1,34,1487,151,723,993,600
8/27/2011,19.6,0,0,26.1,21.1,26,656,62,247,395,240
8/28/2011,23.1,0,0,24.4,19.4,121,32,8,29,28,29
8/29/2011,0,0,0,26.7,16.7,43,1450,176,855,1033,723
8/30/2011,0,0,0,25,16.7,31,1490,208,957,1095,787
8/31/2011,0,0,0,27.2,17.2,27,1431,193,919,1083,749
9/1/2011,0,0,0,21.7,16.7,30,1404,158,698,956,610
9/2/2011,0,0,0,20,15.6,30,1470,99,325,752,312
9/3/2011,0,0,0,30,15.6,44,1598,105,303,829,296
9/4/2011,0,0,0,29.4,20,52,1623,126,377,958,365
9/5/2011,0,0,0,30.6,20.6,61,541,57,330,419,273
9/6/2011,17.3,0,0,23.3,15.6,39,368,53,296,329,258
9/7/2011,7.6,0,0,17.2,15.6,58,678,86,475,534,407
9/8/2011,29.7,0,0,17.8,14.4,28,1422,181,857,1064,718
9/9/2011,0,0,0,27.2,14.4,37,1681,134,470,946,454
9/10/2011,0,0,0,21.7,15,38,1788,123,488,1015,475
9/11/2011,0,0,0,21.1,13.3,36,1435,217,948,1126,796
9/12/2011,0,0,0,27.8,16.7,43,1501,187,925,1169,769
9/13/2011,0,0,0,29.4,17.8,46,1422,185,962,1164,827
9/14/2011,2,0,0,30,20,40,1337,213,959,1092,813
9/15/2011,0.8,0,0,28.3,12.8,47,1612,222,1025,1227,869
9/16/2011,0,0,0,18.3,10,51,1455,123,472,833,454
9/17/2011,0,0,0,16.7,8.9,31,1320,97,455,832,436
9/18/2011,0,0,0,18.9,10.6,42,1459,211,953,1125,795
9/19/2011,0,0,0,18.3,10.6,41,1127,171,869,978,727
9/20/2011,3.3,0,0,19.4,12.8,39,1604,270,1121,1248,961
9/21/2011,0,0,0,23.9,15,33,1146,195,861,930,749
9/22/2011,1.3,0,0,22.8,18.3,21,957,148,695,801,594
9/23/2011,11.9,0,0,22.8,18.3,29,1266,155,530,755,503
9/24/2011,10.9,0,0,26.7,18.3,30,1380,145,496,806,468
9/25/2011,0,0,0,25.6,20,17,1572,248,1070,1186,914
9/26/2011,0,0,0,24.4,18.9,22,1676,215,1147,1279,967
9/27/2011,0,0,0,22.8,17.8,27,1627,313,1228,1334,1048
9/28/2011,0,0,0,21.1,17.2,49,940,161,755,814,650
9/29/2011,23.9,0,0,22.2,16.7,43,1726,266,1110,1289,968
9/30/2011,3,0,0,25,14.4,47,1042,144,444,652,440
10/1/2011,8.6,0,0,21.7,13.9,35,1012,131,469,685,458
10/2/2011,0,0,0,18.3,14.4,41,1245,199,895,982,762
10/3/2011,1.8,0,0,20,13.3,34,1007,150,805,876,715
10/4/2011,28.4,0,0,20,13.3,45,1306,231,1059,1087,909
10/5/2011,0,0,0,20.6,10.6,62,1275,205,1053,1095,887
10/6/2011,0,0,0,18.9,8.9,59,1611,257,1120,1236,981
10/7/2011,0,0,0,16.7,7.8,30,1862,166,574,952,565
10/8/2011,0,0,0,27.8,12.8,37,2115,159,543,1110,533
10/9/2011,0,0,0,30.6,18.3,47,1802,209,800,1120,747
10/10/2011,0,0,0,29.4,17.8,42,1620,273,1235,1321,1067
10/11/2011,0,0,0,18.9,14.4,35,1383,251,1134,1185,978
10/12/2011,2,0,0,16.7,13.9,55,602,106,502,483,438
10/13/2011,23.6,0,0,17.2,15,50,773,132,600,623,520
10/14/2011,14.7,0,0,19.4,15,51,1408,155,549,847,528
10/15/2011,0,0,0,20,13.3,86,1368,188,575,877,552
10/16/2011,0,0,0,18.9,12.2,67,1419,278,1110,1177,947
10/17/2011,0,0,0,18.9,13.3,64,1451,272,1150,1181,1005
10/18/2011,0,0,0,20,12.8,36,436,66,377,410,317
10/19/2011,29.7,0,0,15,12.2,68,1251,232,1003,1053,879
10/20/2011,11.9,0,0,20.6,12.2,62,1614,241,1104,1278,947
10/21/2011,0,0,0,17.8,11.7,52,1492,202,621,922,614
10/22/2011,0,0,0,17.2,10,41,1197,139,501,759,495
10/23/2011,0,0,0,14.4,7.8,26,1278,204,1005,1070,854
10/24/2011,0,0,0,17.2,6.1,32,1284,229,1062,1130,912
10/25/2011,0.3,0,0,16.7,10,56,846,136,730,753,652
10/26/2011,0.5,0,0,10,8.9,23,211,28,184,188,160
10/27/2011,25.9,0,0,9.4,1.1,60,983,152,813,831,704
10/28/2011,0,0,0,9.4,1.7,50,311,46,167,239,163
10/29/2011,21.6,0,10,9.4,1.1,74,210,31,142,160,140
10/30/2011,2.8,0,15,8.9,1.1,75,964,168,812,840,717
10/31/2011,0,0,0,11.1,3.3,30,1090,166,893,948,768
