ID,orig,dest,duration,distance
1,3,4,947,3667
2,3,5,391,1495
3,3,6,1520,5918
4,3,7,1641,6170
5,3,8,1248,4671
6,3,9,839,2817
7,3,10,654,2132
8,3,11,159,666
9,3,12,382,1266
10,3,13,830,2897
11,3,14,74,374
12,3,15,1357,5569
13,3,16,771,3154
14,3,17,1274,5608
15,3,18,1375,5502
16,3,19,450,1396
17,3,20,1581,6029
18,3,21,632,2574
19,3,22,1410,5228
20,3,23,1394,5371
21,3,24,1593,6043
22,3,25,709,2638
23,3,26,962,3403
24,3,27,443,1653
25,3,29,1312,5831
26,3,30,298,1421
27,3,31,1745,6637
28,3,32,182,630
29,3,33,520,1394
30,3,34,261,958
31,3,35,1266,4790
32,3,36,837,3343
33,3,37,1378,5744
34,3,38,1705,6486
35,3,39,831,2869
36,3,40,1704,6555
37,3,41,952,3455
38,3,42,961,3727
39,3,43,1558,5661
40,3,44,1559,5791
41,3,45,311,1114
42,3,46,577,2250
43,3,47,1773,6510
44,3,48,1529,5644
45,3,49,1165,4458
46,3,50,867,3429
47,3,51,696,2289
48,3,52,678,2538
49,3,53,870,2651
50,3,54,1279,4786
51,3,55,557,2161
52,3,56,794,2628
53,3,57,568,2049
54,3,58,1171,4559
55,3,59,1300,4935
56,3,60,1355,5213
57,3,61,691,2639
58,3,62,241,1001
59,3,63,1429,4861
60,3,64,1492,5652
61,3,65,1912,7435
62,3,66,1031,4008
63,3,67,1182,3616
64,3,68,1348,4672
65,3,69,726,2447
66,3,70,1542,6697
67,3,71,2037,8593
68,3,72,1480,5968
69,3,73,1564,6836
70,3,74,1639,7026
71,3,75,1286,4350
72,3,76,1395,4874
73,3,77,2300,9140
74,3,78,1965,8084
75,3,79,1767,6405
76,3,80,1250,4220
77,3,81,1146,4360
78,3,82,613,2848
79,3,83,1071,3763
80,3,84,1473,5635
81,3,85,1306,4521
82,3,86,471,2502
83,3,87,1377,6233
84,3,88,1637,5766
85,3,89,1655,7394
86,3,90,1553,6080
87,3,91,1400,4775
88,3,92,1989,8106
89,3,93,1578,5406
90,3,94,1909,7924
91,3,95,1558,5491
92,3,96,1647,6891
93,3,97,1358,5940
94,3,98,1758,7364
95,3,99,1405,5239
96,3,100,778,2556
97,3,101,251,902
98,3,102,866,2996
99,3,103,696,2674
100,3,104,1304,4509
101,3,105,1006,3225
102,3,106,1664,5859
103,3,107,1788,6458
104,3,108,1179,4312
105,3,109,1301,4498
106,3,110,1360,5657
107,3,111,1760,6598
108,3,112,1284,4905
109,3,113,1378,5196
110,3,114,1725,6588
111,3,115,2014,8661
112,3,116,1129,4406
113,3,117,1434,5521
114,3,118,1952,8199
115,3,119,801,3174
116,3,120,1051,4692
117,3,121,947,4252
118,3,122,865,3568
119,3,123,873,3517
120,3,124,1003,4270
121,3,125,673,2632
122,3,126,937,3415
123,3,127,825,3036
124,3,128,1410,4776
125,3,129,1387,6018
126,3,130,1754,7388
127,3,131,1221,3636
128,3,132,1764,7477
129,3,133,1824,7974
130,3,134,2131,9874
131,3,135,1554,5539
132,3,136,1419,4854
133,3,137,1847,8397
134,3,138,1967,8817
135,3,139,2254,10433
136,3,140,2287,10003
137,3,141,2322,10350
138,3,142,2438,11010
139,3,143,2283,9948
140,3,144,2298,10522
141,3,145,2055,9268
142,4,5,618,2629
143,4,6,704,2779
144,4,7,903,3074
145,4,8,2068,9281
146,4,9,1309,5746
147,4,10,1086,4882
148,4,11,941,4436
149,4,12,504,2374
150,4,13,444,1857
151,4,14,841,4040
152,4,15,1882,8583
153,4,16,229,1021
154,4,17,1555,7106
155,4,18,1772,8344
156,4,19,1113,4429
157,4,20,703,2642
158,4,21,401,1682
159,4,22,672,2132
160,4,23,578,2232
161,4,24,855,2947
162,4,25,156,770
163,4,26,177,619
164,4,27,678,3136
165,4,29,1593,7328
166,4,30,839,3953
167,4,31,1007,3541
168,4,32,972,4160
169,4,33,1013,3610
170,4,34,879,3695
171,4,35,528,1694
172,4,36,354,1289
173,4,37,2114,10066
174,4,38,824,3249
175,4,39,301,1188
176,4,40,826,3168
177,4,41,1422,6384
178,4,42,360,1015
179,4,43,820,2565
180,4,44,726,2666
181,4,45,853,3625
182,4,46,496,2132
183,4,47,819,2971
184,4,48,642,2471
185,4,49,306,745
186,4,50,452,1652
187,4,51,400,1726
188,4,52,522,2215
189,4,53,828,2991
190,4,54,464,1647
191,4,55,664,2563
192,4,56,658,2743
193,4,57,329,1604
194,4,58,466,1606
195,4,59,485,1311
196,4,60,750,2717
197,4,61,536,2316
198,4,62,934,4433
199,4,63,512,1734
200,4,64,754,2555
201,4,65,1039,3942
202,4,66,1794,7461
203,4,67,1073,4118
204,4,68,1239,5175
205,4,69,1488,5901
206,4,70,1800,8182
207,4,71,1787,7868
208,4,72,1340,6448
209,4,73,1931,8479
210,4,74,1896,8511
211,4,75,1177,4852
212,4,76,1287,5377
213,4,77,1801,7474
214,4,78,1466,6418
215,4,79,1622,7105
216,4,80,1141,4723
217,4,81,408,1264
218,4,82,1155,5381
219,4,83,702,2983
220,4,84,1120,4526
221,4,85,761,2824
222,4,86,1012,5035
223,4,87,1634,7718
224,4,88,1492,6466
225,4,89,2022,9037
226,4,90,1054,4415
227,4,91,1291,5278
228,4,92,1680,7066
229,4,93,1148,4435
230,4,94,1304,5429
231,4,95,1343,5872
232,4,96,1904,8376
233,4,97,1615,7425
