ID,orig,dest,dist,time,speed
1,3,4,2.28,15.8,8.7
2,3,5,0.93,6.5,8.6
3,3,6,3.68,25.3,8.7
4,3,7,3.83,27.4,8.4
5,3,8,2.9,20.8,8.4
6,3,9,1.75,14.0,7.5
7,3,10,1.32,10.9,7.3
8,3,11,0.41,2.6,9.4
9,3,12,0.79,6.4,7.4
10,3,13,1.8,13.8,7.8
11,3,14,0.23,1.2,11.3
12,3,15,3.46,22.6,9.2
13,3,16,1.96,12.8,9.2
14,3,17,3.48,21.2,9.8
15,3,18,3.42,22.9,9.0
16,3,19,0.87,7.5,6.9
17,3,20,3.75,26.4,8.5
18,3,21,1.6,10.5,9.1
19,3,22,3.25,23.5,8.3
20,3,23,3.34,23.2,8.6
21,3,24,3.75,26.6,8.5
22,3,25,1.64,11.8,8.3
23,3,26,2.11,16.0,7.9
24,3,27,1.03,7.4,8.3
25,3,29,3.62,21.9,9.9
26,3,30,0.88,5.0,10.7
27,3,31,4.12,29.1,8.5
28,3,32,0.39,3.0,7.7
29,3,33,0.87,8.7,6.0
30,3,34,0.6,4.3,8.2
31,3,35,2.98,21.1,8.5
32,3,36,2.08,13.9,8.9
33,3,37,3.57,23.0,9.3
34,3,38,4.03,28.4,8.5
35,3,39,1.78,13.8,7.7
36,3,40,4.07,28.4,8.6
37,3,41,2.15,15.9,8.1
38,3,42,2.32,16.0,8.7
39,3,43,3.52,26.0,8.1
40,3,44,3.6,26.0,8.3
41,3,45,0.69,5.2,8.0
42,3,46,1.4,9.6,8.7
43,3,47,4.05,29.6,8.2
44,3,48,3.51,25.5,8.3
45,3,49,2.77,19.4,8.6
46,3,50,2.13,14.4,8.8
47,3,51,1.42,11.6,7.4
48,3,52,1.58,11.3,8.4
49,3,53,1.65,14.5,6.8
50,3,54,2.97,21.3,8.4
51,3,55,1.34,9.3,8.7
52,3,56,1.63,13.2,7.4
53,3,57,1.27,9.5,8.1
54,3,58,2.83,19.5,8.7
55,3,59,3.07,21.7,8.5
56,3,60,3.24,22.6,8.6
57,3,61,1.64,11.5,8.5
58,3,62,0.62,4.0,9.3
59,3,63,3.02,23.8,7.6
60,3,64,3.51,24.9,8.5
61,3,65,4.62,31.9,8.7
62,3,66,2.49,17.2,8.7
63,3,67,2.25,19.7,6.8
64,3,68,2.9,22.5,7.8
65,3,69,1.52,12.1,7.5
66,3,70,4.16,25.7,9.7
67,3,71,5.34,34.0,9.4
68,3,72,3.71,24.7,9.0
69,3,73,4.25,26.1,9.8
70,3,74,4.37,27.3,9.6
71,3,75,2.7,21.4,7.6
72,3,76,3.03,23.2,7.8
73,3,77,5.68,38.3,8.9
