to,from,ID
97,118,1
97,119,2
48,127,3
48,126,4
48,121,5
48,120,6
48,123,7
48,122,8
97,110,9
97,111,10
97,112,11
97,113,12
48,129,13
97,115,14
97,116,15
97,117,16
74,138,17
78,79,18
43,57,19
43,56,20
50,128,21
43,54,22
43,53,23
43,52,24
43,51,25
43,50,26
50,122,27
50,123,28
50,120,29
50,121,30
50,126,31
50,127,32
50,124,33
50,125,34
48,125,35
109,119,36
109,118,37
48,124,38
109,115,39
109,114,40
109,117,41
109,116,42
109,111,43
109,110,44
109,113,45
109,112,46
97,114,47
144,145,48
48,128,49
33,67,50
26,35,51
45,73,52
45,72,53
45,71,54
45,70,55
33,66,56
83,119,57
83,118,58
83,117,59
83,116,60
83,115,61
83,114,62
83,113,63
83,112,64
83,111,65
83,110,66
45,75,67
45,74,68
88,89,69
70,128,70
70,129,71
70,120,72
70,121,73
70,122,74
70,123,75
70,124,76
70,125,77
70,126,78
70,127,79
43,55,80
70,86,81
70,87,82
70,84,83
50,129,84
70,82,85
70,83,86
70,80,87
70,81,88
70,88,89
70,89,90
38,119,91
38,118,92
38,111,93
38,110,94
38,113,95
38,112,96
38,115,97
38,114,98
38,117,99
38,116,100
36,113,101
36,112,102
36,111,103
36,110,104
36,117,105
36,116,106
36,115,107
36,114,108
71,105,109
36,119,110
36,118,111
43,59,112
43,58,113
88,132,114
88,133,115
88,130,116
88,131,117
88,136,118
88,137,119
88,134,120
88,135,121
88,138,122
88,139,123
24,129,124
24,128,125
24,123,126
24,122,127
24,121,128
24,120,129
24,127,130
24,126,131
24,125,132
24,124,133
56,57,134
56,59,135
56,58,136
69,144,137
69,145,138
69,140,139
69,141,140
69,142,141
69,143,142
14,29,143
14,26,144
14,27,145
14,24,146
14,25,147
14,22,148
14,23,149
14,20,150
14,21,151
47,99,152
47,98,153
24,32,154
24,33,155
24,30,156
24,31,157
24,36,158
24,37,159
24,34,160
24,35,161
73,141,162
45,128,163
24,38,164
24,39,165
73,145,166
47,95,167
72,89,168
47,94,169
33,109,170
72,84,171
72,85,172
33,101,173
33,100,174
33,103,175
33,102,176
33,105,177
72,86,178
33,107,179
33,106,180
16,86,181
16,87,182
16,84,183
72,87,184
16,82,185
16,83,186
25,128,187
25,129,188
25,126,189
25,127,190
25,124,191
25,125,192
25,122,193
25,123,194
25,120,195
25,121,196
72,82,197
72,83,198
41,139,199
41,138,200
41,137,201
41,136,202
41,135,203
41,134,204
41,133,205
41,132,206
41,131,207
41,130,208
9,101,209
9,100,210
9,103,211
9,102,212
9,105,213
9,104,214
9,107,215
9,106,216
9,109,217
9,108,218
106,140,219
12,88,220
12,89,221
96,99,222
12,82,223
12,83,224
12,80,225
12,81,226
