ID,orig,dest,duration,distance
7380,141,143,423,1821
7381,84,129,1110,4699
7382,84,128,349,1215
7383,84,125,1701,6556
7384,84,124,2032,8193
7385,84,127,1610,6788
7386,84,126,1990,7874
7387,84,121,2022,8490
7388,84,120,2126,8930
7389,84,123,1901,7441
7390,84,122,1940,7806
7391,4,88,1492,6466
7392,4,89,2022,9037
7394,15,39,2093,8802
7395,4,84,1120,4526
7396,4,85,761,2824
7397,4,86,1012,5035
7398,4,87,1634,7718
7399,4,80,1141,4723
7400,4,81,408,1264
7401,4,82,1155,5381
7402,4,83,702,2983
7403,22,67,1254,5072
7404,22,66,1842,8340
7405,22,65,513,2238
7406,22,64,82,423
7407,22,63,347,1916
7408,22,62,1555,6500
7409,22,61,1045,4156
7410,22,60,784,2437
7411,62,143,2250,7611
7412,22,69,1883,7786
7413,22,68,1420,6129
7414,42,94,1057,4777
7415,5,129,1194,5337
7416,5,128,1019,3281
7417,62,141,2379,8401
7418,42,95,1096,5220
7419,5,123,847,3354
7420,5,122,892,3722
7421,5,121,974,4406
7422,5,120,1078,4846
7423,5,127,1069,4356
7424,5,126,975,4469
7425,5,125,648,2469
7426,5,124,978,4106
7427,42,97,1368,6774
7428,42,90,807,3763
7429,42,91,1045,4626
7430,69,72,1605,7135
7431,42,92,1940,8042
7432,42,93,1521,5739
7433,141,144,309,1368
7434,141,145,257,1172
7435,56,70,2218,8608
7436,17,98,1752,8526
7437,17,99,1921,8350
7438,17,96,690,2255
7439,17,97,401,1304
7440,17,94,1903,9086
7441,17,95,1050,3997
7442,17,92,3208,14275
7443,17,93,2789,11972
7444,17,90,1526,7405
7445,17,91,1061,3953
7446,86,141,2746,11444
7447,86,140,2711,11097
7448,86,143,2498,9884
7449,86,142,2862,12104
7450,86,145,2479,10362
7451,36,58,411,1615
7452,86,144,2722,11616
7453,67,119,774,2426
7454,67,118,1205,4745
7455,37,126,951,3210
7456,67,115,1267,5206
7457,67,114,1136,3932
7458,67,117,1286,4897
7459,67,116,765,3131
7460,67,111,1170,3941
7461,67,110,1278,5728
7462,67,113,812,3150
7463,67,112,1135,4281
7464,6,106,1093,4378
7465,6,107,1225,4956
7466,6,104,1594,5946
7467,6,105,1458,5751
7468,6,102,1176,4136
7469,6,103,773,2987
7470,6,100,1465,5336
7471,6,101,919,4234
7472,6,108,1603,6646
7473,37,122,1525,6342
7474,15,71,1072,4086
7475,33,98,1162,5949
7476,33,99,1331,5773
7477,27,108,949,3809
7478,27,109,1111,4606
7479,17,109,2477,10526
7480,17,108,2415,10207
7481,27,102,636,2493
7482,27,103,605,2911
7483,27,100,304,956
7484,27,101,653,2421
7485,27,106,1433,5356
7486,27,107,1558,5955
7487,27,104,1074,4005
7488,27,105,776,2722
7489,29,104,2458,10816
7490,29,105,2335,9592
7491,29,106,2359,9814
7492,29,107,2483,10412
7493,29,100,2138,9017
7494,29,101,1026,4223
7495,29,102,1849,7818
7496,29,103,1323,5879
7497,29,108,2383,10207
7498,29,109,2445,10527
7499,5,85,1281,4357
7500,52,60,730,2735
7501,52,61,189,347
7502,52,62,714,3256
7503,52,63,1154,3496
7504,52,64,990,3360
7505,52,65,1410,5143
7506,52,66,1164,4473
7507,52,67,577,1504
7508,52,68,743,2561
7509,52,69,1060,3798
7510,103,144,1880,8401
7511,103,145,1637,7146
7512,13,90,1562,6109
7513,13,91,1410,4804
7514,5,84,1082,4140
7515,103,141,1904,8228
7516,103,142,2020,8888
7517,103,143,1781,6728
7518,13,98,1768,7393
7519,13,99,1012,3834
7520,32,94,1650,7273
7521,11,138,2120,7306
7522,11,139,2407,8922
7523,11,134,2284,8363
7524,11,135,1451,4803
7525,11,136,1496,4955
7526,11,137,2001,6885
7527,11,130,1627,7300
7528,11,131,1077,3073
7529,11,132,1918,5966
7530,11,133,1868,6305
7531,63,88,1672,7597
7532,63,89,2418,10406
7533,63,82,1588,6816
7534,63,83,764,3271
7535,63,80,1537,6092
7536,63,81,670,2207
7537,63,86,1446,6470
7538,63,87,2029,9087
7539,63,84,1301,5657
7540,63,85,403,1555
7541,5,81,756,2865
7542,5,80,860,2725
7543,44,103,1008,3928
7544,44,102,907,3393
7545,44,101,1225,5183
7546,44,100,1263,4838
7547,44,107,1090,4289
7548,44,106,1208,4361
7549,44,105,1297,4948
7550,44,104,1309,4909
7551,44,109,1717,6660
7552,44,108,1389,5611
7553,101,102,884,3267
7554,101,103,439,1719
7555,101,106,1587,5771
7556,101,107,1711,6370
7557,101,104,1639,5558
7558,101,105,1341,4274
7559,101,108,1514,5362
7560,101,109,1636,5547
7561,25,79,1535,5745
7562,25,78,1733,7424
7563,25,75,1055,3690
7564,25,74,1405,5551
7565,25,77,2068,8480
7566,25,76,1164,4214
7567,25,71,1700,6508
7568,25,70,1739,7066
7569,25,73,1871,7363
7570,25,72,1249,5308
7571,6,24,818,2832
7572,51,78,1855,7729
7573,51,79,1657,6050
7574,51,72,1370,5614
7575,51,73,1992,7669
7576,51,70,1860,7371
7577,51,71,1822,6813
7578,51,76,1285,4520
7579,51,77,2190,8785
7580,51,74,1527,5856
7581,51,75,1176,3995
7582,34,120,1255,5417
7583,34,121,1152,4977
7584,34,122,1069,4293
7585,34,123,1217,4623
7586,34,124,1347,5375
7587,34,125,1017,3737
7588,34,126,1096,3787
7589,34,127,716,2701
7590,34,128,1335,5878
7591,34,129,1183,4627
7592,62,69,485,1446
7593,62,68,1166,3484
7594,115,116,1110,4649
7595,115,117,845,3624
7596,49,140,2154,9674
7597,49,141,2190,10021
7598,49,144,2178,10087
7599,49,145,1930,8954
7600,115,118,185,849
7601,115,119,1467,6341
7602,110,117,2231,9782
7603,110,116,1711,8016
7604,110,115,2395,11500
7605,110,114,2106,9428
7606,110,113,1758,8035
7607,110,112,2081,9167
7608,110,111,2140,9437
7609,110,119,1720,7312
