ID,orig,dest,duration,distance
4970,7,145,2227,10352
4971,7,144,2475,11485
4972,18,143,1200,4660
4973,37,141,1912,8375
4974,37,140,1876,8028
4975,37,143,1873,7973
4976,37,142,2028,9035
4977,37,145,1645,7294
4978,37,144,1888,8548
4979,83,100,635,2381
4980,83,101,1146,4488
4981,83,102,406,1709
4982,83,103,902,3699
4983,83,104,383,1599
4984,83,105,313,1005
4985,83,106,689,2636
4986,83,107,796,3195
4987,83,108,160,747
4988,83,109,266,1228
4989,18,95,1046,4117
4990,76,90,643,3135
4991,70,119,1452,6362
4992,70,118,1558,7057
4993,70,115,1620,7519
4994,70,114,1838,8478
4995,70,117,1964,8833
4996,70,116,1443,7067
4997,70,111,1872,8488
4998,70,110,758,3494
4999,70,113,1490,7086
5000,70,112,1813,8218
5001,55,145,1660,6598
5002,55,144,1903,7852
5003,55,141,1927,7680
5004,55,140,1892,7333
5005,55,143,1805,6180
5006,55,142,2043,8340
5007,29,84,1415,6959
5008,29,85,2457,10804
5009,29,86,1123,4748
5010,29,87,396,1532
5011,29,80,947,4090
5012,29,81,1525,6944
5013,29,82,1012,4505
5014,29,83,2179,9299
5015,29,88,988,3650
5016,29,89,784,2851
5017,70,95,720,3077
5018,70,94,1514,6783
5019,70,97,129,655
5020,70,96,360,1334
5021,70,91,730,3032
5022,70,90,979,4520
5023,70,93,2346,8979
5024,70,92,3327,15004
5025,5,145,1789,7284
5026,70,99,2040,9079
5027,70,98,1364,6222
5028,5,144,2032,8538
5029,75,140,1125,5164
5030,62,74,1587,4918
5033,22,109,1118,5030
5034,22,108,1012,4550
5035,22,107,738,3309
5036,22,106,607,2731
5037,22,105,1179,4447
5038,22,104,710,3279
5039,22,103,1051,4191
5040,22,102,851,3090
5041,22,101,1459,6204
5042,22,100,1206,4594
5043,36,104,1311,5167
5044,36,105,1116,4028
5045,36,106,1211,4165
5046,36,107,1335,4763
5047,36,100,919,3453
5048,36,101,643,2564
5049,36,102,630,2254
5050,36,103,214,922
5051,62,70,1489,4589
5052,36,108,1164,4643
5053,8,128,1264,5128
5054,62,71,1857,6418
5055,18,94,1985,9533
5056,8,129,825,3033
5057,62,72,1594,6033
5058,62,73,1621,4886
5059,8,122,1195,5218
5060,8,123,1520,6865
5061,8,120,1381,6343
5062,88,145,668,3131
5063,88,144,916,4265
5064,88,143,688,2595
5065,88,142,1069,4891
5066,88,141,928,4199
5067,88,140,892,3852
5068,132,144,820,3434
5069,8,126,773,3631
5070,132,140,808,2915
5071,132,141,844,3262
5072,132,142,960,3922
5073,30,136,1449,5663
5074,8,124,1572,7445
5075,8,125,1329,6034
5076,24,138,1969,9069
5077,24,139,2447,11298
5078,24,134,2323,10740
5079,75,88,380,1613
5080,24,136,1409,5934
5081,24,137,2058,9336
5082,24,130,1843,8420
5083,24,131,1902,7785
5084,24,132,1963,8777
5085,24,133,2166,9579
5086,14,39,881,3077
5088,14,35,1242,4969
5089,14,34,330,1256
5090,14,37,1311,5414
5091,14,36,776,3063
5092,14,31,1721,6817
5093,14,30,199,753
5094,14,33,589,1691
5095,14,32,252,927
5096,131,145,1184,5309
5097,131,144,1427,6563
5098,131,143,1276,5002
5099,131,142,1567,7051
5100,131,141,1451,6391
5101,131,140,1415,6044
5102,57,103,325,1410
5103,57,102,314,1101
5104,57,101,569,2199
5105,57,100,601,2009
5106,57,107,1248,4488
5107,57,106,1123,3890
5108,57,105,777,2584
5109,57,104,776,2872
5110,24,29,2013,8926
5111,57,109,809,3355
5112,57,108,746,3035
5113,33,118,1355,6784
5114,33,119,743,3057
5115,33,112,1104,4912
5116,33,113,781,3780
5117,33,110,878,4442
5118,33,111,1163,5182
5119,33,116,734,3761
5120,33,117,1254,5527
5121,33,114,1129,5173
5122,33,115,1418,7245
5123,16,95,1413,6149
5124,16,94,1373,5706
5125,16,97,1491,6419
5126,16,96,1308,5227
5127,16,91,1083,3974
